entryID,name,author,material,condition,price
a0,Be an Artist at the Gas Range,The Mystery Chef,Softcover,Used,$1.00
a1,Mystery,Jonathan Kellerman,Hardcover,Used,$4.39
a2,Mystery,"Straub, Peter",Softcover,Used,$4.41
a3,Mystery,"Sturm, Lacey",Softcover,Used,$4.47
a4,Mystery,"Straub, Peter",Hardcover,Used,$4.47
a5,Mystery,"Geisert, Arthur",Hardcover,Used,$4.48
a6,The Mysteries,Lisa Tuttle,Hardcover,Used,$4.49
a7,The Mysteries,"McGill, Robert",Softcover,Used,$4.50
a8,Mystery,"Kellerman, Jonathan",Hardcover,Used,$4.50
a9,The Mystery,"Nix, Garth, Williams, Sean",Hardcover,Used,$4.50
a10,Mysteries,"Blyton, Enid",Hardcover,Used,$4.50
a11,Mysteries,Giles Gordon,Softcover,Used,$4.74
a12,Gift and Mystery,Pope John Paul II,Hardcover,Used,$4.04
a13,Mountain Mysteries,Marvin Gregory,Softcover,Used,$3.85
a14,Mysteries of the Bush,Paige Patterson; Armour Patterson,Softcover,Used,$3.85
a15,The Bungalow Mystery,Carolyn Keene,Hardcover,Used,$3.85
a16,Mystery Mountain,Florence Laughlin,Hardcover,Used,$3.85
a17,Mystery Baby,Dani Sinclair,Softcover,Used,$3.85
a18,Grizzly: A Mystery,"Andreae, Christine",Hardcover,Used,$3.92
a19,Mystery Isle,"St. George, Judith",Softcover,Used,$3.92
a20,The Crown Crime Companion: The Top 100 Mystery Novels of All Time,"Mystery Writers Of America, Inc.",Softcover,Used,$4.48
a21,Mystery Writers of America Presents Vengeance,"Mystery Writers of America, Inc.",Hardcover,Used,$4.48
a22,Mystery Writers of America Presents The Rich and the Dead,Inc. Mystery Writers of America,Hardcover,Used,$4.49
a23,"Mystery Writers of America Presents the Prosecution Rests : New Stories about Courtrooms, Criminals, and the Law","Mystery Writers of America, Inc.",Hardcover,Used,$4.50
a24,Mystery Writers Handbook,Not Listed,Softcover,Used,$3.92
a25,"The Blue Religion : New Stories about Cops, Criminals, and the Chase",Mystery Writers of America Staff,Hardcover,Used,$4.50
a26,The Mystery of Breathing: A Novel,Perri Klass,Hardcover,Used,$3.70
a27,The Mystery of the Cupboard,"Banks, Lynne Reid; Newsom, Tom [Illustrator]",Softcover,Used,$4.11
a28,Alphabet Mystery,Audrey Wood; Audrey Wood; Bruce Wood [Illustrator]; Bruce Wood [Illustrator];,Softcover,Used,$4.11
a29,The Clearing - A Mystery,"Miller, Dorothy R.",Softcover,Used,$4.11
a30,The Mysteries Of Pittsburgh,"Chabon, Michael",Softcover,Used,$4.47
a31,Maritime Mysteries,"Jessome, Bill",Softcover,Used,$4.12
a32,Unsolved Mysteries,Publications International Ltd.,Softcover,Used,$4.47
a33,Mystery At Kittiwake Bay,"Stengel, Joyce A",Softcover,Used,$3.73
a34,NEW MYSTERY Fall 1997,New Mystery Magazine,Softcover,Used,$5.01
a35,Mystery Ranch,Not Listed,Softcover,Used,$4.17
a36,The Christmas Mystery,"Gaarder, Jostein; Gibb, Sarah [Illustrator]",Softcover,Used,$4.17
a37,The Vacation Mystery,"Vulliamy, Clara",Softcover,Used,$4.17
a38,Merciless: A Mystery,"Armstrong, Lori",Softcover,Used,$4.17
a39,Mystery Girl,Not Listed,Not Specified,Used,$4.18
a40,The Mystery Mission,"Bonner, Shonlisa",Softcover,Used,$4.18
a41,Mystery Ride,"Boswell, Robert",Hardcover,Used,$4.19
a42,The Mommy Mystery,"Fossen, Delores",Softcover,Used,$4.19
a43,Blindsided: A Mystery,"Phillips, Clyde",Hardcover,Used,$4.20
a44,The Merlin Mystery,"Gunson, Jonathan; Coombe, Marten [Illustrator]",Hardcover,Used,$4.22
a45,Avenue of Mysteries,"Irving, John",Softcover,Used,$4.25
a46,Great American Mysteries,"Floyd, E. Randall",Softcover,Used,$3.85
a47,The Spray-Paint Mystery,Angela Shelf Medearis; Robert Papp [Illustrator],Softcover,Used,$4.01
a48,Submerged (Blackpool Mysteries),"Gray, Jordan",Softcover,Used,$3.85
a49,Fairies (Mystery Library),"Hoffman, Nancy",Hardcover,Used,$3.85
a50,The Mystery of Mr. Nice,Bruce Hale,Softcover,Used,$3.85
a51,The Sweet Shoppe Mystery,Not Listed,Hardcover,Used,$3.85
a52,Mystery Of Drear House,"Hamilton, Virginia",Softcover,Used,$3.85
a53,Mystery of the Island Jewels,Joyce A. Stengel,Softcover,Used,$3.85
a54,Cashed In: A Poker Mystery,"Chance, Jackie",Softcover,Used,$3.85
a55,Story: Recapture the Mystery,"James, Steven",Softcover,Used,$3.85
a56,Betrayal (The Grace Mysteries),"Cavendish, Lady Grace",Hardcover,Used,$3.92
a57,The Mystery of Gods Will,"Swindoll, Charles R.",Hardcover,Used,$3.85
a58,Arthurs Mystery Envelope,"Brown, Marc",Softcover,Used,$3.85
a59,Mystery Experience Guidebook,Not Listed,Softcover,Used,$3.85
a60,Bones and the Dinosaur Mystery,"Adler, David A.",Softcover,Used,$3.92
a61,The Mysteries,"Silver, Marisa",Hardcover,Used,$5.28
a62,The Mystery of Magnets,Melvin Berger,Softcover,Used,$4.28
a63,Mystery of the Incarnation,"Anderson, James Norman Dalrymple",Softcover,Used,$4.29
a64,More Clue Mysteries,"Vicki Cameron, Nigel Tappin",Softcover,Used,$3.89
a65,The Year's 25 Finest Crime and Mystery Stories,Mystery Scene,Hardcover,Used,$5.98
a66,The Mystery of the Cupboard,"Banks, Lynne Reid; Newsom, Tom [Illustrator]",Hardcover,Used,$4.31
a67,Year's 25 Finest Crime and Mystery Stories,Mystery Scene,Hardcover,Used,$5.99
a68,The Great Evolution Mystery,"Taylor, Gordon Rattray",Hardcover,Used,$3.91
a69,Mystery Of the Ages,Herbert W. Armstrong,Softcover,Used,$4.47
a70,The Mystery of Magillicuddys Gold,"Walsh, Sheila",Hardcover,Used,$3.92
a71,Disappearance: A Premonitions Mystery,"Watson, Jude",Hardcover,Used,$3.92
a72,Esp (Mysteries of Science),Elaine landau,Softcover,Used,$3.92
a73,Mystery at Blackbeards Cove,"Penn, Audrey",Softcover,Used,$3.92
a74,The Crossroads (A Haunted Mystery),"Grabenstein, Chris",Hardcover,Used,$3.92
a75,Assassin (The Grace Mysteries),"Cavendish, Lady Grace",Softcover,Used,$3.92
a76,Untitled: A Booklovers Mystery,"Kaewert, Julie",Softcover,Used,$3.92
a77,Mystery on October Road,Alison Cragin Herzig; Jane Lawrence Mali,Hardcover,Used,$3.92
a78,The Mystery of King Karfu,"Cushman, Doug",Hardcover,Used,$3.92
a79,Unsolved Mysteries of History,Paul Aron,Not Specified,Used,$3.92
a80,Strange Mysteries of the Unexplained,"Doyle, Oliver",Softcover,Used,$3.92
a81,The Fat Woman Mystery,"Noble, Sandra",Softcover,Used,$3.92
a82,Mystery of Lake Kanakondah,"Hayes, Karel",Softcover,Used,$3.92
a83,Avenue of Mysteries,"Irving, John",Hardcover,Used,$4.34
a84,Unveiling Mysteries of the Bible,Grant R. Jeffrey,Softcover,Used,$3.93
a85,Mystery,"Morris, Rebecca",Softcover,Used,$5.37
a86,The ABC Mystery,"Cushman, Doug",Softcover,Used,$4.36
a87,The Mystery of Music,Kenneth Keaton,Softcover,Used,$4.37
a88,The Mystery of the Rosary,"Tremeau, Marc",Hardcover,Used,$4.37
a89,Melusine: A Mystery,"Banks, Lynne Reid",Hardcover,Used,$4.37
a90,Mystery of the Nile,"Bangs, Richard, Scaturro, Pasquale",Softcover,Used,$4.37
a91,The Mystery of the Aleph,Amir D. Aczel,Softcover,Used,$4.37
a92,Mysteries of the Unexplained,"Carlson, H. G.",Softcover,Used,$4.37
a93,The Haunting of Hillside School,"Gregory, Kristiana, Cabin Creek Mysteries",Softcover,Used,$4.50
a94,The Kidnapped King (A to Z Mysteries),"Roy, Ron",Softcover,Used,$3.72
a95,The Yellow Yacht (A to Z Mysteries),Ron Roy,Hardcover,Used,$3.72
a96,The Mysteries of Research,"Cohen, Sharron",Hardcover,Used,$4.38
a97,Asylum: A Mystery,Jeannette de Beauvoir,Hardcover,Used,$4.39
a98,Mystery Box,"McAlpine, Gordon",Not Specified,Used,$4.38
a99,The mystery of the pyramids,Humphrey Evans,Not Specified,Used,$4.39
a100,The Kidnappers : A Mystery,Willo Davis Roberts,Softcover,Used,$4.39
a101,Medical Mysteries,Michael & Ford Howell,Hardcover,Used,$4.39
a102,The Mystery Express,Pam Adams,Hardcover,Used,$4.39
