entryID,name,author,material,condition,price
b0,Silent Patient,Alex Michaelides,Paperback,Used,$17.99
b1,Thursday Murder Club,Richard Osman,Paperback,Used,$18.00
b2,The Guest List: A Novel,Lucy Foley,Paperback,Used,$16.99
b3,Drive Your Plow Over the Bones of the Dead,Olga Tokarczuk,Paperback,Used,$18.00
b4,Maid,Nita Prose,Paperback,Used,$18.00
b5,Vera Wong's Unsolicited Advice for Murderers,Jesse Q. Sutanto,Paperback,New,$17.00
b6,A World of Curiosities (Chief Inspector Gamache Novel 18),Louise Penny,Hardcover,Used,$29.99
b7,All the Sinners Bleed,S. A. Cosby,Hardcover,New,$27.99
b8,Then She Was Gone,Lisa Jewell,Paperback,Used,$16.00
b9,Zero Days,Ruth Ware,Hardcover,New,$29.99
b10,The Butcher and the Wren,Alaina Urquhart,Hardcover,New,$27.00
b11,Magpie Murders,Anthony Horowitz,Paperback,Used,$18.00
b12,When No One Is Watching,Alyssa Cole,Paperback,Used,$16.99
b13,Paris Apartment,Lucy Foley,Paperback,New,$18.99
b14,Everyone in My Family Has Killed Someone,Benjamin Stevenson,Hardcover,Used,$30.00
b15,In the Woods,Tana French,Paperback,Used,$18.00
b16,Only One Left,Riley Sager,Hardcover,New,$28.00
b17,Searcher,Tana French,Paperback,Used,$18.00
b18,These Silent Woods,Kimi Cunningham Grant,Paperback,Used,$17.99
b19,The Forgotten Girls (Louise Rick #7),Sara Blaedel,Paperback,Used,$14.99
b20,The 7 1/2 Deaths of Evelyn Hardcastle,Stuart Turton,Paperback,Used,$16.99
b21,All the Missing Girls,Megan Miranda,Paperback,Used,$16.00
b22,The Woman in Cabin 10,Ruth Ware,Paperback,Used,$17.99
b23,Housemaid,Freida McFadden,Paperback,New,$12.99
b24,The Girl on the Train,Paula Hawkins,Paperback,Used,$17.00
b25,Bullet That Missed,Richard Osman,Paperback,New,$18.00
b26,The Turn of the Key,Ruth Ware,Paperback,Used,$16.99
b27,The Girl Who Kicked the Hornets Nest,Stieg Larsson,Paperback,Used,$9.99
b28,This Tender Land,William Kent Krueger,Paperback,Used,$17.00
b29,Independence Square,Martin Cruz Smith,Hardcover,New,$26.99
b30,The Hunting Party,Lucy Foley,Paperback,Used,$18.99
b31,It Girl,Ruth Ware,Hardcover,Used,$28.99
b32,Ordinary Grace,William Kent Krueger,Paperback,Used,$17.99
b33,Elderly Lady Is Up to No Good,"Helene Tursten, Marlaine Delargy",Hardcover,New,$12.99
b34,Elderly Lady Must Not Be Crossed,"Helene Tursten, Marlaine Delargy",Hardcover,Used,$14.99
b35,Slow Horses Deluxe Edition,Mick Herron,Paperback,Used,$16.95
b36,Night Flight to Paris (A Kate Rees WWII Novel),Cara Black,Hardcover,Used,$27.95
b37,Murder on the Red River,Marcie R Rendon,Paperback,New,$9.99
b38,Killingly,Katharine Beutner,Hardcover,New,$27.95
b39,Out of the Ashes,Kara Thomas,Paperback,New,$16.99
b40,Maze,Nelson Demille,Paperback,New,$18.99
b41,Cloisters,Katy Hays,Hardcover,Used,$28.00
b42,Golden Spoon,Jessa Maxwell,Hardcover,Used,$27.00
b43,Only Survivors,Megan Miranda,Hardcover,Used,$28.00
b44,Hope Never Dies: An Obama Biden Mystery,Andrew Shaffer,Paperback,Used,$14.99
b45,Joyland,Stephen King,Paperback,Used,$14.95
b46,Honjin Murders,"Seishi Yokomizo, Louise Heal Kawai",Paperback,New,$14.95
b47,Colorado Kid,Stephen King,Paperback,Used,$12.95
b48,Five Decembers,James Kestrel,Paperback,New,$16.99
b49,Housemaids Secret,Freida McFadden,Paperback,New,$11.75
b50,Last House Guest,Megan Miranda,Not Specified,Used,$6.98
b51,Mysterious Affair At Styles,Agatha Christie,Paperback,Used,$10.95
b52,Portland Noir,"Kevin Sampsell, Gigi Little, Karen Karbo",Paperback,Used,$15.95
b53,Potters Field,Rob Hart,Hardcover,New,$25.99
b54,Who Is Vera Kelly?,Rosalie Knecht,Paperback,Used,$15.95
b55,Anybody Home?,Michael J. Seidlinger,Paperback,New,$18.95
b56,The Tenant,Katrine Engberg,Paperback,Used,$16.99
b57,It Girl,Ruth Ware,Paperback,New,$18.99
b58,State of Terror,"Hillary Rodham Clinton, Louise Penny",Hardcover,Used,$30.00
b59,State of Terror,"Hillary Rodham Clinton, Louise Penny",Paperback,Used,$18.99
b60,Drowning The Rescue of Flight 1421,T J Newman,Hardcover,New,$28.00
b61,Family Remains,Lisa Jewell,Paperback,New,$17.99
b62,Only the Dead,Jack Carr,Hardcover,New,$29.99
b63,Appeal A Novel,Janice Hallett,Paperback,Used,$18.99
b64,Writing Retreat,Julia Bartz,Hardcover,Used,$27.00
b65,No Plan B A Jack Reacher Novel,"Lee Child, Andrew Child",Hardcover,Used,$28.99
b66,No Plan B A Jack Reacher Novel,"Lee Child, Andrew Child",Paperback,New,$9.99
b67,We Were Never Here,Andrea Bartz,Paperback,Used,$18.00
b68,Feel the Bern A Bernie Sanders Mystery,Andrew Shaffer,Paperback,Used,$16.99
b69,Man Who Died Twice A Thursday Murder Club Mystery,Richard Osman,Paperback,New,$18.00
b70,Man Who Died Twice A Thursday Murder Club Mystery,Richard Osman,Hardcover,Used,$28.00
b71,And Then There Were None,Agatha Christie,Not Specified,Used,$9.99
b72,And Then There Were None,Agatha Christie,Paperback,Used,$15.99
b73,Murder on the Orient Express: Hercule Poirot 10,Agatha Christie,Paperback,Used,$15.99
